country,year, gdp_for_year ($) ,gdp_per_capita ($)
Albania,2002,"4,435,078,648",1573
Albania,2002,"4,435,078,648",1573
Albania,2002,"4,435,078,648",1573
Albania,2002,"4,435,078,648",1573
Albania,2002,"4,435,078,648",1573
Albania,2002,"4,435,078,648",1573
Albania,2002,"4,435,078,648",1573
Albania,2003,"5,746,945,913",2021
Albania,2003,"5,746,945,913",2021
Albania,2003,"5,746,945,913",2021
Albania,2003,"5,746,945,913",2021
Albania,2003,"5,746,945,913",2021
Albania,2003,"5,746,945,913",2021
Albania,2003,"5,746,945,913",2021
Albania,2003,"5,746,945,913",2021
Albania,2003,"5,746,945,913",2021
Albania,2003,"5,746,945,913",2021
Albania,2003,"5,746,945,913",2021
Albania,2003,"5,746,945,913",2021
Albania,2004,"7,314,865,176",2544
Albania,2004,"7,314,865,176",2544
Albania,2004,"7,314,865,176",2544
Albania,2004,"7,314,865,176",2544
Albania,2004,"7,314,865,176",2544
Albania,2004,"7,314,865,176",2544
Albania,2004,"7,314,865,176",2544
Albania,2004,"7,314,865,176",2544
Albania,2004,"7,314,865,176",2544
Albania,2004,"7,314,865,176",2544
Albania,2004,"7,314,865,176",2544
Albania,2004,"7,314,865,176",2544
Albania,2005,"8,158,548,717",2931
Albania,2005,"8,158,548,717",2931
Albania,2005,"8,158,548,717",2931
Albania,2005,"8,158,548,717",2931
Albania,2005,"8,158,548,717",2931
Albania,2005,"8,158,548,717",2931
Albania,2005,"8,158,548,717",2931
Albania,2005,"8,158,548,717",2931
Albania,2005,"8,158,548,717",2931
Albania,2005,"8,158,548,717",2931
Albania,2005,"8,158,548,717",2931
Albania,2005,"8,158,548,717",2931
Albania,2006,"8,992,642,349",3235
Albania,2006,"8,992,642,349",3235
Albania,2006,"8,992,642,349",3235
Albania,2006,"8,992,642,349",3235
Albania,2006,"8,992,642,349",3235
Albania,2006,"8,992,642,349",3235
Albania,2006,"8,992,642,349",3235
Albania,2006,"8,992,642,349",3235
Albania,2006,"8,992,642,349",3235
Albania,2006,"8,992,642,349",3235
Albania,2006,"8,992,642,349",3235
Albania,2006,"8,992,642,349",3235
Albania,2007,"10,701,011,897",3863
Albania,2007,"10,701,011,897",3863
Albania,2007,"10,701,011,897",3863
Albania,2007,"10,701,011,897",3863
Albania,2007,"10,701,011,897",3863
Albania,2007,"10,701,011,897",3863
Albania,2007,"10,701,011,897",3863
Albania,2007,"10,701,011,897",3863
Albania,2007,"10,701,011,897",3863
Albania,2007,"10,701,011,897",3863
Albania,2007,"10,701,011,897",3863
Albania,2007,"10,701,011,897",3863
Albania,2008,"12,881,352,688",4672
Albania,2008,"12,881,352,688",4672
Albania,2008,"12,881,352,688",4672
Albania,2008,"12,881,352,688",4672
Albania,2008,"12,881,352,688",4672
Albania,2008,"12,881,352,688",4672
Albania,2008,"12,881,352,688",4672
Albania,2008,"12,881,352,688",4672
Albania,2008,"12,881,352,688",4672
Albania,2008,"12,881,352,688",4672
Albania,2008,"12,881,352,688",4672
Albania,2008,"12,881,352,688",4672
Albania,2009,"12,044,212,904",4387
Albania,2009,"12,044,212,904",4387
Albania,2009,"12,044,212,904",4387
Albania,2009,"12,044,212,904",4387
Albania,2009,"12,044,212,904",4387
Albania,2009,"12,044,212,904",4387
Albania,2009,"12,044,212,904",4387
Albania,2009,"12,044,212,904",4387
Albania,2009,"12,044,212,904",4387
Albania,2009,"12,044,212,904",4387
Albania,2009,"12,044,212,904",4387
Albania,2009,"12,044,212,904",4387
Albania,2010,"11,926,953,259",4359
Albania,2010,"11,926,953,259",4359
Albania,2010,"11,926,953,259",4359
Albania,2010,"11,926,953,259",4359
Albania,2010,"11,926,953,259",4359
Albania,2010,"11,926,953,259",4359
Albania,2010,"11,926,953,259",4359
Albania,2010,"11,926,953,259",4359
Albania,2010,"11,926,953,259",4359
Albania,2010,"11,926,953,259",4359
Albania,2010,"11,926,953,259",4359
Albania,2010,"11,926,953,259",4359
Antigua and Barbuda,1985,"240,923,926",3850
Antigua and Barbuda,1985,"240,923,926",3850
Antigua and Barbuda,1985,"240,923,926",3850
Antigua and Barbuda,1985,"240,923,926",3850
Antigua and Barbuda,1985,"240,923,926",3850
Antigua and Barbuda,1985,"240,923,926",3850
Antigua and Barbuda,1985,"240,923,926",3850
Antigua and Barbuda,1985,"240,923,926",3850
Antigua and Barbuda,1985,"240,923,926",3850
Antigua and Barbuda,1985,"240,923,926",3850
Antigua and Barbuda,1985,"240,923,926",3850
Antigua and Barbuda,1985,"240,923,926",3850
Antigua and Barbuda,1986,"290,440,148",4740
Antigua and Barbuda,1986,"290,440,148",4740
Antigua and Barbuda,1986,"290,440,148",4740
Antigua and Barbuda,1986,"290,440,148",4740
Antigua and Barbuda,1986,"290,440,148",4740
Antigua and Barbuda,1986,"290,440,148",4740
Antigua and Barbuda,1986,"290,440,148",4740
Antigua and Barbuda,1986,"290,440,148",4740
Antigua and Barbuda,1986,"290,440,148",4740
Antigua and Barbuda,1986,"290,440,148",4740
Antigua and Barbuda,1986,"290,440,148",4740
Antigua and Barbuda,1986,"290,440,148",4740
Antigua and Barbuda,1987,"337,174,852",5595
Antigua and Barbuda,1987,"337,174,852",5595
Antigua and Barbuda,1987,"337,174,852",5595
Antigua and Barbuda,1987,"337,174,852",5595
Antigua and Barbuda,1987,"337,174,852",5595
Antigua and Barbuda,1987,"337,174,852",5595
Antigua and Barbuda,1987,"337,174,852",5595
Antigua and Barbuda,1987,"337,174,852",5595
Antigua and Barbuda,1987,"337,174,852",5595
Antigua and Barbuda,1987,"337,174,852",5595
Antigua and Barbuda,1987,"337,174,852",5595
Antigua and Barbuda,1987,"337,174,852",5595
Antigua and Barbuda,1988,"398,637,741",6693
Antigua and Barbuda,1988,"398,637,741",6693
Antigua and Barbuda,1988,"398,637,741",6693
Antigua and Barbuda,1988,"398,637,741",6693
Antigua and Barbuda,1988,"398,637,741",6693
Antigua and Barbuda,1988,"398,637,741",6693
Antigua and Barbuda,1988,"398,637,741",6693
Antigua and Barbuda,1988,"398,637,741",6693
Antigua and Barbuda,1988,"398,637,741",6693
Antigua and Barbuda,1988,"398,637,741",6693
Antigua and Barbuda,1988,"398,637,741",6693
Antigua and Barbuda,1988,"398,637,741",6693
Antigua and Barbuda,1989,"438,794,778",7407
Antigua and Barbuda,1989,"438,794,778",7407
Antigua and Barbuda,1989,"438,794,778",7407
Antigua and Barbuda,1989,"438,794,778",7407
Antigua and Barbuda,1989,"438,794,778",7407
Antigua and Barbuda,1989,"438,794,778",7407
Antigua and Barbuda,1989,"438,794,778",7407
Antigua and Barbuda,1989,"438,794,778",7407
Antigua and Barbuda,1989,"438,794,778",7407
Antigua and Barbuda,1989,"438,794,778",7407
Antigua and Barbuda,1989,"438,794,778",7407
Antigua and Barbuda,1989,"438,794,778",7407
Antigua and Barbuda,1990,"459,469,074",7744
Antigua and Barbuda,1990,"459,469,074",7744
Antigua and Barbuda,1990,"459,469,074",7744
Antigua and Barbuda,1990,"459,469,074",7744
Antigua and Barbuda,1990,"459,469,074",7744
Antigua and Barbuda,1990,"459,469,074",7744
Antigua and Barbuda,1990,"459,469,074",7744
Antigua and Barbuda,1990,"459,469,074",7744
Antigua and Barbuda,1990,"459,469,074",7744
Antigua and Barbuda,1990,"459,469,074",7744
Antigua and Barbuda,1990,"459,469,074",7744
Antigua and Barbuda,1990,"459,469,074",7744
Antigua and Barbuda,1991,"481,706,333",7976
Antigua and Barbuda,1991,"481,706,333",7976
Antigua and Barbuda,1991,"481,706,333",7976
Antigua and Barbuda,1991,"481,706,333",7976
Antigua and Barbuda,1991,"481,706,333",7976
Antigua and Barbuda,1991,"481,706,333",7976
Antigua and Barbuda,1991,"481,706,333",7976
Antigua and Barbuda,1991,"481,706,333",7976
Antigua and Barbuda,1991,"481,706,333",7976
Antigua and Barbuda,1991,"481,706,333",7976
Antigua and Barbuda,1991,"481,706,333",7976
Antigua and Barbuda,1991,"481,706,333",7976
Antigua and Barbuda,1992,"499,281,148",8087
Antigua and Barbuda,1992,"499,281,148",8087
Antigua and Barbuda,1992,"499,281,148",8087
Antigua and Barbuda,1992,"499,281,148",8087
Antigua and Barbuda,1992,"499,281,148",8087
Antigua and Barbuda,1992,"499,281,148",8087
Antigua and Barbuda,1992,"499,281,148",8087
Antigua and Barbuda,1992,"499,281,148",8087
Antigua and Barbuda,1992,"499,281,148",8087
Antigua and Barbuda,1992,"499,281,148",8087
Antigua and Barbuda,1992,"499,281,148",8087
Antigua and Barbuda,1992,"499,281,148",8087
Antigua and Barbuda,1993,"535,172,778",8453
Antigua and Barbuda,1993,"535,172,778",8453
Antigua and Barbuda,1993,"535,172,778",8453
Antigua and Barbuda,1993,"535,172,778",8453
Antigua and Barbuda,1993,"535,172,778",8453
Antigua and Barbuda,1993,"535,172,778",8453
Antigua and Barbuda,1993,"535,172,778",8453
Antigua and Barbuda,1993,"535,172,778",8453
Antigua and Barbuda,1993,"535,172,778",8453
Antigua and Barbuda,1993,"535,172,778",8453
Antigua and Barbuda,1993,"535,172,778",8453
Antigua and Barbuda,1993,"535,172,778",8453
Antigua and Barbuda,1994,"589,429,593",9062
Antigua and Barbuda,1994,"589,429,593",9062
Antigua and Barbuda,1994,"589,429,593",9062
Antigua and Barbuda,1994,"589,429,593",9062
Antigua and Barbuda,1994,"589,429,593",9062
Antigua and Barbuda,1994,"589,429,593",9062
Antigua and Barbuda,1994,"589,429,593",9062
Antigua and Barbuda,1994,"589,429,593",9062
Antigua and Barbuda,1994,"589,429,593",9062
Antigua and Barbuda,1994,"589,429,593",9062
Antigua and Barbuda,1994,"589,429,593",9062
Antigua and Barbuda,1994,"589,429,593",9062
Antigua and Barbuda,1995,"577,280,741",8636
Antigua and Barbuda,1995,"577,280,741",8636
Antigua and Barbuda,1995,"577,280,741",8636
Antigua and Barbuda,1995,"577,280,741",8636
Antigua and Barbuda,1995,"577,280,741",8636
Antigua and Barbuda,1995,"577,280,741",8636
Antigua and Barbuda,1995,"577,280,741",8636
Antigua and Barbuda,1995,"577,280,741",8636
Antigua and Barbuda,1995,"577,280,741",8636
Antigua and Barbuda,1995,"577,280,741",8636
Antigua and Barbuda,1995,"577,280,741",8636
Antigua and Barbuda,1995,"577,280,741",8636
Antigua and Barbuda,1998,"727,860,593",10078
Antigua and Barbuda,1998,"727,860,593",10078
Antigua and Barbuda,1998,"727,860,593",10078
Antigua and Barbuda,1998,"727,860,593",10078
Antigua and Barbuda,1998,"727,860,593",10078
Antigua and Barbuda,1998,"727,860,593",10078
Antigua and Barbuda,1998,"727,860,593",10078
Antigua and Barbuda,1998,"727,860,593",10078
Antigua and Barbuda,1998,"727,860,593",10078
Antigua and Barbuda,1998,"727,860,593",10078
Antigua and Barbuda,1998,"727,860,593",10078
Antigua and Barbuda,1998,"727,860,593",10078
Antigua and Barbuda,1999,"766,198,926",10378
Antigua and Barbuda,1999,"766,198,926",10378
Antigua and Barbuda,1999,"766,198,926",10378
Antigua and Barbuda,1999,"766,198,926",10378
Antigua and Barbuda,1999,"766,198,926",10378
Antigua and Barbuda,1999,"766,198,926",10378
Antigua and Barbuda,1999,"766,198,926",10378
Antigua and Barbuda,1999,"766,198,926",10378
Antigua and Barbuda,1999,"766,198,926",10378
Antigua and Barbuda,1999,"766,198,926",10378
Antigua and Barbuda,1999,"766,198,926",10378
Antigua and Barbuda,1999,"766,198,926",10378
Antigua and Barbuda,2000,"830,158,778",11021
Antigua and Barbuda,2000,"830,158,778",11021
Antigua and Barbuda,2000,"830,158,778",11021
Antigua and Barbuda,2000,"830,158,778",11021
Antigua and Barbuda,2000,"830,158,778",11021
Antigua and Barbuda,2000,"830,158,778",11021
Antigua and Barbuda,2000,"830,158,778",11021
Antigua and Barbuda,2000,"830,158,778",11021
Antigua and Barbuda,2000,"830,158,778",11021
Antigua and Barbuda,2000,"830,158,778",11021
Antigua and Barbuda,2000,"830,158,778",11021
Antigua and Barbuda,2000,"830,158,778",11021
Antigua and Barbuda,2001,"800,740,259",10468
Antigua and Barbuda,2001,"800,740,259",10468
Antigua and Barbuda,2001,"800,740,259",10468
Antigua and Barbuda,2001,"800,740,259",10468
Antigua and Barbuda,2001,"800,740,259",10468
Antigua and Barbuda,2001,"800,740,259",10468
Antigua and Barbuda,2001,"800,740,259",10468
Antigua and Barbuda,2001,"800,740,259",10468
Antigua and Barbuda,2001,"800,740,259",10468
Antigua and Barbuda,2001,"800,740,259",10468
Antigua and Barbuda,2001,"800,740,259",10468
Antigua and Barbuda,2001,"800,740,259",10468
Antigua and Barbuda,2002,"814,615,333",10499
Antigua and Barbuda,2002,"814,615,333",10499
Antigua and Barbuda,2002,"814,615,333",10499
Antigua and Barbuda,2002,"814,615,333",10499
Antigua and Barbuda,2002,"814,615,333",10499
Antigua and Barbuda,2002,"814,615,333",10499
Antigua and Barbuda,2002,"814,615,333",10499
Antigua and Barbuda,2002,"814,615,333",10499
Antigua and Barbuda,2002,"814,615,333",10499
Antigua and Barbuda,2002,"814,615,333",10499
Antigua and Barbuda,2002,"814,615,333",10499
Antigua and Barbuda,2002,"814,615,333",10499
Antigua and Barbuda,2003,"855,643,111",10878
Antigua and Barbuda,2003,"855,643,111",10878
Antigua and Barbuda,2003,"855,643,111",10878
Antigua and Barbuda,2003,"855,643,111",10878
Antigua and Barbuda,2003,"855,643,111",10878
Antigua and Barbuda,2003,"855,643,111",10878
Antigua and Barbuda,2003,"855,643,111",10878
Antigua and Barbuda,2003,"855,643,111",10878
Antigua and Barbuda,2003,"855,643,111",10878
Antigua and Barbuda,2003,"855,643,111",10878
Antigua and Barbuda,2003,"855,643,111",10878
Antigua and Barbuda,2003,"855,643,111",10878
Antigua and Barbuda,2004,"919,577,148",11535
Antigua and Barbuda,2004,"919,577,148",11535
Antigua and Barbuda,2004,"919,577,148",11535
Antigua and Barbuda,2004,"919,577,148",11535
Antigua and Barbuda,2004,"919,577,148",11535
Antigua and Barbuda,2004,"919,577,148",11535
Antigua and Barbuda,2004,"919,577,148",11535
Antigua and Barbuda,2004,"919,577,148",11535
Antigua and Barbuda,2004,"919,577,148",11535
Antigua and Barbuda,2004,"919,577,148",11535
Antigua and Barbuda,2004,"919,577,148",11535
Antigua and Barbuda,2004,"919,577,148",11535
Antigua and Barbuda,2005,"1,022,191,296",12649
Antigua and Barbuda,2005,"1,022,191,296",12649
Antigua and Barbuda,2005,"1,022,191,296",12649
Antigua and Barbuda,2005,"1,022,191,296",12649
Antigua and Barbuda,2005,"1,022,191,296",12649
Antigua and Barbuda,2005,"1,022,191,296",12649
Antigua and Barbuda,2005,"1,022,191,296",12649
Antigua and Barbuda,2005,"1,022,191,296",12649
Antigua and Barbuda,2005,"1,022,191,296",12649
Antigua and Barbuda,2005,"1,022,191,296",12649
Antigua and Barbuda,2005,"1,022,191,296",12649
Antigua and Barbuda,2005,"1,022,191,296",12649
Antigua and Barbuda,2006,"1,157,005,444",14114
Antigua and Barbuda,2006,"1,157,005,444",14114
Antigua and Barbuda,2006,"1,157,005,444",14114
Antigua and Barbuda,2006,"1,157,005,444",14114
Antigua and Barbuda,2006,"1,157,005,444",14114
Antigua and Barbuda,2006,"1,157,005,444",14114
Antigua and Barbuda,2006,"1,157,005,444",14114
Antigua and Barbuda,2006,"1,157,005,444",14114
Antigua and Barbuda,2006,"1,157,005,444",14114
Antigua and Barbuda,2006,"1,157,005,444",14114
Antigua and Barbuda,2006,"1,157,005,444",14114
Antigua and Barbuda,2006,"1,157,005,444",14114
Antigua and Barbuda,2007,"1,311,401,333",15775
Antigua and Barbuda,2007,"1,311,401,333",15775
Antigua and Barbuda,2007,"1,311,401,333",15775
Antigua and Barbuda,2007,"1,311,401,333",15775
Antigua and Barbuda,2007,"1,311,401,333",15775
Antigua and Barbuda,2007,"1,311,401,333",15775
Antigua and Barbuda,2007,"1,311,401,333",15775
Antigua and Barbuda,2007,"1,311,401,333",15775
Antigua and Barbuda,2007,"1,311,401,333",15775
Antigua and Barbuda,2007,"1,311,401,333",15775
Antigua and Barbuda,2007,"1,311,401,333",15775
Antigua and Barbuda,2007,"1,311,401,333",15775
Antigua and Barbuda,2008,"1,368,431,037",16238
Antigua and Barbuda,2008,"1,368,431,037",16238
Antigua and Barbuda,2008,"1,368,431,037",16238
Antigua and Barbuda,2008,"1,368,431,037",16238
Antigua and Barbuda,2008,"1,368,431,037",16238
Antigua and Barbuda,2008,"1,368,431,037",16238
Antigua and Barbuda,2008,"1,368,431,037",16238
Antigua and Barbuda,2008,"1,368,431,037",16238
Antigua and Barbuda,2008,"1,368,431,037",16238
Antigua and Barbuda,2008,"1,368,431,037",16238
Antigua and Barbuda,2008,"1,368,431,037",16238
Antigua and Barbuda,2008,"1,368,431,037",16238
Antigua and Barbuda,2009,"1,224,253,000",14335
Antigua and Barbuda,2009,"1,224,253,000",14335
Antigua and Barbuda,2009,"1,224,253,000",14335
Antigua and Barbuda,2009,"1,224,253,000",14335
Antigua and Barbuda,2009,"1,224,253,000",14335
Antigua and Barbuda,2009,"1,224,253,000",14335
Antigua and Barbuda,2009,"1,224,253,000",14335
Antigua and Barbuda,2009,"1,224,253,000",14335
Antigua and Barbuda,2009,"1,224,253,000",14335
Antigua and Barbuda,2009,"1,224,253,000",14335
Antigua and Barbuda,2009,"1,224,253,000",14335
Antigua and Barbuda,2009,"1,224,253,000",14335
Antigua and Barbuda,2012,"1,211,411,704",13657
Antigua and Barbuda,2012,"1,211,411,704",13657
Antigua and Barbuda,2012,"1,211,411,704",13657
Antigua and Barbuda,2012,"1,211,411,704",13657
Antigua and Barbuda,2012,"1,211,411,704",13657
Antigua and Barbuda,2012,"1,211,411,704",13657
Antigua and Barbuda,2012,"1,211,411,704",13657
Antigua and Barbuda,2012,"1,211,411,704",13657
Antigua and Barbuda,2012,"1,211,411,704",13657
Antigua and Barbuda,2012,"1,211,411,704",13657
Antigua and Barbuda,2012,"1,211,411,704",13657
Antigua and Barbuda,2012,"1,211,411,704",13657
Antigua and Barbuda,2013,"1,192,925,407",13287
Antigua and Barbuda,2013,"1,192,925,407",13287
Antigua and Barbuda,2013,"1,192,925,407",13287
Antigua and Barbuda,2013,"1,192,925,407",13287
Antigua and Barbuda,2013,"1,192,925,407",13287
Antigua and Barbuda,2013,"1,192,925,407",13287
Antigua and Barbuda,2013,"1,192,925,407",13287
Antigua and Barbuda,2013,"1,192,925,407",13287
Antigua and Barbuda,2013,"1,192,925,407",13287
Antigua and Barbuda,2013,"1,192,925,407",13287
Antigua and Barbuda,2013,"1,192,925,407",13287
Antigua and Barbuda,2013,"1,192,925,407",13287
Antigua and Barbuda,2014,"1,280,133,333",14093
Antigua and Barbuda,2014,"1,280,133,333",14093
Antigua and Barbuda,2014,"1,280,133,333",14093
Antigua and Barbuda,2014,"1,280,133,333",14093
Antigua and Barbuda,2014,"1,280,133,333",14093
Antigua and Barbuda,2014,"1,280,133,333",14093
Antigua and Barbuda,2014,"1,280,133,333",14093
Antigua and Barbuda,2014,"1,280,133,333",14093
Antigua and Barbuda,2014,"1,280,133,333",14093
Antigua and Barbuda,2014,"1,280,133,333",14093
Antigua and Barbuda,2014,"1,280,133,333",14093
Antigua and Barbuda,2014,"1,280,133,333",14093
Antigua and Barbuda,2015,"1,364,863,037",14853
Antigua and Barbuda,2015,"1,364,863,037",14853
Antigua and Barbuda,2015,"1,364,863,037",14853
Antigua and Barbuda,2015,"1,364,863,037",14853
Antigua and Barbuda,2015,"1,364,863,037",14853
Antigua and Barbuda,2015,"1,364,863,037",14853
Antigua and Barbuda,2015,"1,364,863,037",14853
Antigua and Barbuda,2015,"1,364,863,037",14853
Antigua and Barbuda,2015,"1,364,863,037",14853
Antigua and Barbuda,2015,"1,364,863,037",14853
Antigua and Barbuda,2015,"1,364,863,037",14853
Antigua and Barbuda,2015,"1,364,863,037",14853
Argentina,1985,"88,416,668,900",3264
Argentina,1985,"88,416,668,900",3264
Argentina,1985,"88,416,668,900",3264
Argentina,1985,"88,416,668,900",3264
Argentina,1985,"88,416,668,900",3264
Argentina,1985,"88,416,668,900",3264
Argentina,1985,"88,416,668,900",3264
Argentina,1985,"88,416,668,900",3264
Argentina,1985,"88,416,668,900",3264
Argentina,1985,"88,416,668,900",3264
Argentina,1985,"88,416,668,900",3264
Argentina,1985,"88,416,668,900",3264
Argentina,1986,"110,934,442,763",4072
Argentina,1986,"110,934,442,763",4072
Argentina,1986,"110,934,442,763",4072
Argentina,1986,"110,934,442,763",4072
Argentina,1986,"110,934,442,763",4072
Argentina,1986,"110,934,442,763",4072
Argentina,1986,"110,934,442,763",4072
Argentina,1986,"110,934,442,763",4072
Argentina,1986,"110,934,442,763",4072
Argentina,1986,"110,934,442,763",4072
Argentina,1986,"110,934,442,763",4072
Argentina,1986,"110,934,442,763",4072
Argentina,1987,"111,106,191,358",4026
Argentina,1987,"111,106,191,358",4026
Argentina,1987,"111,106,191,358",4026
Argentina,1987,"111,106,191,358",4026
Argentina,1987,"111,106,191,358",4026
Argentina,1987,"111,106,191,358",4026
Argentina,1987,"111,106,191,358",4026
Argentina,1987,"111,106,191,358",4026
Argentina,1987,"111,106,191,358",4026
Argentina,1987,"111,106,191,358",4026
Argentina,1987,"111,106,191,358",4026
Argentina,1987,"111,106,191,358",4026
Argentina,1988,"126,206,817,196",4458
Argentina,1988,"126,206,817,196",4458
Argentina,1988,"126,206,817,196",4458
Argentina,1988,"126,206,817,196",4458
Argentina,1988,"126,206,817,196",4458
Argentina,1988,"126,206,817,196",4458
Argentina,1988,"126,206,817,196",4458
Argentina,1988,"126,206,817,196",4458
Argentina,1988,"126,206,817,196",4458
Argentina,1988,"126,206,817,196",4458
Argentina,1988,"126,206,817,196",4458
Argentina,1988,"126,206,817,196",4458
Argentina,1989,"76,636,898,036",2670
Argentina,1989,"76,636,898,036",2670
Argentina,1989,"76,636,898,036",2670
Argentina,1989,"76,636,898,036",2670
Argentina,1989,"76,636,898,036",2670
